country,city,region_hint,lat,lon,nuts_code
FR,Grenoble,,45.1875602,5.7357819,
FR,Valence,,44.9332277,4.8920811,
DE,Chemnitz,,50.8323531,12.918914,
UK,Leicester,,52.6362,-1.1331969,
UK,London,,51.5074456,-0.1277653,
UK,Omagh,,54.5992486,-7.3029907,
UK,Denton,Greater Manchester,53.4547745,-2.1153406,
FR,Vienne,Isère,45.52524,4.87477,
UK,Manchester,Greater Manchester,53.4424618,-2.2324547,
UK,London,London,51.5156177,-0.0919983,
FR,Grenoble,Isère,45.1875602,5.7357819,
FR,Valence,Drôme,44.9332277,4.8920811,
DE,Chemnitz,Sachsen,50.8323531,12.918914,
